iter	Passed	Remaining
0	149	14784
1	150	7390
2	152	4921
3	153	3683
4	154	2941
5	156	2445
6	157	2091
7	158	1825
8	160	1618
9	161	1453
10	162	1317
11	164	1203
12	165	1106
13	166	1023
14	167	951
15	169	888
16	170	832
17	171	782
18	172	737
19	174	696
20	175	660
21	176	626
22	178	596
23	179	567
24	180	541
25	181	517
26	183	494
27	184	473
28	185	454
29	186	435
30	188	418
31	189	402
32	190	387
33	192	372
34	193	358
35	194	345
36	195	333
37	197	321
38	198	310
39	199	299
40	200	289
41	202	279
42	203	269
43	205	260
44	206	252
45	207	243
46	208	235
47	210	227
48	211	220
49	212	212
50	214	205
51	215	198
52	216	192
53	218	185
54	219	179
55	220	173
56	222	167
57	223	161
58	224	156
59	226	150
60	227	145
61	228	140
62	229	135
63	231	130
64	232	125
65	233	120
66	234	115
67	236	111
68	237	106
69	238	102
70	239	97
71	241	93
72	242	89
73	243	85
74	244	81
75	246	77
76	247	73
77	248	70
78	250	66
79	251	62
80	252	59
81	253	55
82	255	52
83	256	48
84	257	45
85	258	42
86	260	38
87	261	35
88	262	32
89	263	29
90	265	26
91	266	23
92	267	20
93	268	17
94	270	14
95	271	11
96	272	8
97	273	5
98	275	2
99	276	0
