topic_rank,topic,similarity,comment
1,Trading,0.34602509726168823,"That is gambling, not trading."
1,Trading,0.3071964233024319,Trading makes poor Use the money for investing and the time for enjoying life
1,Trading,0.3049528569915799,"Buy and sell in euros then. You got a good deal in euros 6 months ago, and the previous decade you would have been better off holding dollars than euros, so it is only recently the dollar has lost value against the euro. Good luck trading!"
1,Trading,0.28230690099717953,"OTC trading does not eliminate market impact. It is not magic. When desks receive large orders, they hedge by spreading smaller trades across exchanges and CME futures in real time. The same buying pressure hits the market, just distributed over hours through thousands of small trades rather than one massive order. The price still moves in response to the demand, but gradually rather than suddenly. Think of it as taking many small steps up a hill instead of one giant leap. The destination remains the same."
1,Trading,0.2710083489073395,"Trading can be stressful, but after you go round trip a few cycles you just count the Xs and smile. A future post may read: A Bitcoin Wallet From 2025 Just Woke Up and Transferred 10 million Sats!"
2,Security,0.34245534077605727,"Just remember, the hardware signing device is typically password protected. It is the private key, usually represented by a seed phrase (12 words) that must be vigilantly protected. You can lose the signing device. Do not lose your seed phrase, or let it be seen by anyone or any camera. Secondly, you can research multi sig and position seed phrases in different locations. If you do a 3 of 5 then you would have 5 seed phrases and signing a transaction would require any 3 of them. In this scenario, even if 2 are compromised, your stack remains secure."
2,Security,0.3135212306948155,"The security of your hardware wallet when it is outside of your possession is not what you need to be focused on protecting, it is the security of your seed mnemonic. Do your roommates know you self custody bitcoin? Do you trust your roommates? I am assuming you do not -- because this thread you started -- so you should not tell them that you self custody bitcoin. If you have not told them, you have already completed step one in mitigating your overall risk. Your hardware wallet has a PIN number for access, and should allow for it to factory reset itself after a certain number of incorrect attempts. That will protect against your roommates accessing your coin via possession of your hardware. But where did you backup your seed mnemonic? Does that also live in your rented room? If your roommates found that, that could be disastrous -- there is no PIN on top of a seed mnemonic! But there can be. If you are not already using a 25th word passphrase, do that. That will protect against your roommates accessing your coin via possession of your seed words. Now you are covered, so just one more question: Are you going to spend any of your bitcoin while travelling? If ""No"": Leave your hardware wallet at home If ""Yes"": Leave your hardware wallet at home, bring a hot wallet with a small balance"
2,Security,0.27265832735843853,"I travel with two hw wallets, one stays in hotel safe and one I carry and another one stays home be safe"
2,Security,0.2697670839317716,"Just be aware that the most common hotel safes are trivial to bypass. Seriously, check YouTube videos, it is crazy. You might consider taping it to the bottom of a drawer or removing an outlet plate. Both would likely hold out longer than a standard hotel safe."
2,Security,0.2666305682717651,"It is not just matching a priv key, it uses it to digitally sign a transaction. Yes you should buy a hardware wallet and get comfortable restoring and using it. Do not use websites to generate keys or seed words or to sign transactions for you. Do not use random scripts you download and think might be safe to run locally. They might have been good yesterday but today replaced silently and generate predictable keys that the author or website hijacker can quietly steal later. Hardware wallet will create and manage all keys and addresses for you. The backup mnemonic or seed words can restore it all and regenerate all keys. You do not need to save addresses or public keys or any of that. You normally never even see any keys. Mnemonic must be keep secret, never entered into any online connected device or random downloaded tool. But yes it can be used that way in a pinch, in a software wallet like sparrow, to get access to the coins without hardware to sign the transactions and send off the BTC. You are not going to be stuck if hardware is lost. But remember this if you are typing your seed words mnemonic with a keyboard or phone screen then something is not right. It should be entered only into hardware screen itself. But if it is not a dire emergency just buy any other compatible hardware wallet and restore into it. Lately even retail stores have them so just walk in and pick up a sealed one. I recommend the new trezors or coldcard though coldcard is a more advanced tool. Mine keeps stuff I do not touch. And occasional spending is done with Trezor Safe 5 which is smooth and easy to use with trezor suit, or electrum, or sparrow, or trezor suit lite on the phone."
3,Macro Market,0.31876159693689166,Bitcoin is more stable than usd
3,Macro Market,0.30746497340551227,"The other way of seeing it is : when the dollar fell, btc fell harder :))))"
3,Macro Market,0.2963046149438275,"It is like asking will USA stop getting more federal loans. Inflation will most definetely make you millionaire with bitcoin, but million might not be that much money when that happens."
3,Macro Market,0.27241368694120394,"The likelihood that bitcoin rapidly goes to 10x (lambo money) or beyond is very very small with how large it is already. Do not get me wrong, I 100% think it will be 1m/coin some day. But I think it will take longer than most expect now that it is huge and has etfs and stuff. To 10x to match gold market cap roughly will be an insane transition, I think growth will slow from here and be much less volatile than in the past now that it has become so institutionalized. But I still think it will grow faster than normal investments and will end up huge(r) one day But I have no idea. Lol "
3,Macro Market,0.26399095900372865,No actually the opposite. I do not think the world is getting off the dollar anytime soon. Not even in my lifetime and I am 37. You will want more btc today so that it can be worth millions of dollars in the future.
4,Conversational,0.24723183796947318,Everyday of my life
4,Conversational,0.2433698629886663,"I had my last day of my 2 weeks. Do not plan on living off of my bitcoin, but I now have the Freedom to get out of a terrible spot and not be stressing for basics to live. I love bitcoin!"
4,Conversational,0.23371511462964875,How else you going to talk about something you think is cool
4,Conversational,0.22237753558731013,Went to see posts about a portfolio that has grown. Ended up with my portfolio growing.
4,Conversational,0.2198282843394653,STUPID CRYPTO TALKING POINT 1992929945838 “I am jelly because I have been shitting on bitcoin since it was $120 and I have made my bed and have to lay in it”
5,Scam,0.2456540211639955,"Either a scammer or someone who has not done their research and due diligence yet. If this is legit you will either educate yourself and potentially cash out or lose it all. Either way, you will get the outcome you deserve."
5,Scam,0.2156521032212001,It is indeed a scam
5,Scam,0.21022256167629405,"It is amazing how deluded the mod is, they certainly did not create the sub to stop people being involved in a $30 bitcoin scam, yet now they say they are only so persistent because they are trying to stop people getting scammed after all this time. Salty af."
5,Scam,0.16690928394637375,Have them get their own wallet and send them BTC. What kind of question is this? Why would you physically mail them a wallet?
5,Scam,0.16520009657540494,It is not a scam. Wrong wording. It is yet another vehicle for the elites to get richer thanks to the lack of reasoning among retail investors.
6,DeFi,0.21346070969772205,No one on this sub can tell you the right answer. The only advice I can give is just HODL
6,DeFi,0.2030441647846888,I live in NY and have been using Swan for years
6,DeFi,0.1985665747129697,"I will look into that, thanks!"
6,DeFi,0.1864801949536855,"We do not know your finances. If you have your debt paid off and this is just extra money, sure. But if you just got married and are buying a house, or have 60k in student loan debt, we cannot tell you that. That is up to you and your goals. But if you are in a great financial position, the thought in your head is correct. Do it. Get your 1 BTC, put it in cold storage, and live your life. When it hits a milly in a few years, you will be thankful."
